推: 8,噓: 1,分數: 7,作者: kinve1014 (黑松可樂),標題: [問卦] 不給貓貓睡覺會怎樣？,時間: Sat Nov 23 20:05:34 2024
推: 3,噓: 0,分數: 3,作者: amoyui (clom),標題: [問卦] 其實孟婆湯很有必要吧？,時間: Sun Nov 24 02:26:51 2024
推: 41,噓: 6,分數: 35,作者: zzzzzzzzzzzy (壞兒瓦西里),標題: [問卦] 日本人是不是無法接受換投罰錢的行為？,時間: Sun Nov 24 02:39:14 2024
推: 21,噓: 2,分數: 19,作者: lotudi (0.0),標題: [問卦] Netflix這半年有上什麼好看的電影嗎？,時間: Sat Nov 23 21:23:39 2024
推: 22,噓: 25,分數: -3,作者: hito0509 (永不放棄！！),標題: [新聞] 祭祀沉沒日艦145官兵亡魂！高雄紅毛港保,時間: Sat Nov 23 21:57:22 2024
推: 4,噓: 1,分數: 3,作者: emperor (派蘿派蘿得第一),標題: [問卦] 胸部上有痣會煞風景嗎?,時間: Sat Nov 23 23:31:10 2024
推: 13,噓: 4,分數: 9,作者: TCG0227 (霖澤館八兩金),標題: [問卦] 贏日本會台日不友好嗎？,時間: Sat Nov 23 20:42:33 2024
推: 0,噓: 0,分數: 0,作者: ggjenderinin (夕陽下的輸精計畫),標題: [爆卦] 金融業謝宜容 at 馬戲團金控,時間: Sun Nov 24 09:42:31 2024
推: 11,噓: 12,分數: -1,作者: jokeppt (就可披披踢),標題: [問卦] 奥術的吉茵珂絲是真的死了嗎,時間: Sat Nov 23 19:54:41 2024
推: 9,噓: 5,分數: 4,作者: rs23234 (.),標題: [問卦] 為何1勝3敗還能拿亞軍銀牌 ？,時間: Sat Nov 23 21:53:27 2024
推: 30,噓: 93,分數: -63,作者: Player02 (玩家02),標題: [爆卦] 賴清德Threads發文,時間: Sat Nov 23 21:35:27 2024
推: 13,噓: 4,分數: 9,作者: Scorpio (批踢踢 命理、預言師 ),標題: [新聞] 硬凹遺體「不蓋白布」坐輪椅！命理師警告,時間: Sat Nov 23 21:36:50 2024
推: 4,噓: 0,分數: 4,作者: SongLa5566 (大四叉),標題: [問卦] 一日迷以為結束了,時間: Sat Nov 23 21:45:46 2024
推: 7,噓: 1,分數: 6,作者: MeiHS (簽名檔是實話，不是笑話),"標題: [問卦] 賽前換表定投手就理虧,why隔壁版還能護航",時間: Sat Nov 23 22:19:52 2024
推: 26,噓: 96,分數: -70,作者: leo86197 (馬場衝擊波),標題: [新聞] 「最窮立委」接任勞動部長救火　吳思瑤：,時間: Sat Nov 23 20:13:05 2024
推: 10,噓: 0,分數: 10,作者: words2012 (づ′・ω・),標題: Re: [問卦] 為什麼看八卦版覺得台灣像地獄,時間: Sun Nov 24 01:42:09 2024
推: 4,噓: 3,分數: 1,作者: se2422 (庫帕),標題: [問卦] 籃球場是無辜的,時間: Sun Nov 24 00:24:40 2024
推: 2,噓: 0,分數: 2,作者: ccugoo (小麥),標題: [新聞] 日本京都府前副知事山下晃正 受聘為竹北市政顧問,時間: Sat Nov 23 22:24:00 2024
推: 11,噓: 0,分數: 11,作者: GKKR (大肥宅油膩膩),標題: Re: [問卦] 阿部寬也太帥了吧…,時間: Sat Nov 23 22:37:34 2024
推: 4,噓: 1,分數: 3,作者: LukeSkywaker (路克天醒者),標題: [問卦] 今天是中華隊還是台灣隊？,時間: Sat Nov 23 22:10:36 2024
推: 3,噓: 2,分數: 1,作者: EVEA ( 民主! ~ LINE! ~ 功德 !),標題: [問卦] 明天棒球冠亞軍 台灣有機會入聯合國嗎??,時間: Sat Nov 23 23:39:22 2024
推: 4,噓: 1,分數: 3,作者: ppoor2005 (伊語),"標題: [問卦] 玉米王牌投手,其實才是抗壓力最大了吧",時間: Sun Nov 24 07:49:51 2024
推: 10,噓: 0,分數: 10,作者: k44754 (神仙索就此失傳了),標題: Re: [新聞] 狂曝許銘春黑料　林淑芬怒嗆「不是什麼,時間: Sat Nov 23 21:19:33 2024
推: 5,噓: 4,分數: 1,作者: ceramicfa (ceramicfa),標題: [問卦] 敢花20萬買日本贏的不怕球是圓的？,時間: Sun Nov 24 01:01:00 2024
推: 0,噓: 0,分數: 0,作者: moebius2 (漫無目的),標題: [問卦] 不吃牛的理由到底是啥?,時間: Sun Nov 24 09:16:51 2024
推: 38,噓: 5,分數: 33,作者: AsahiBeer (朝日啤酒),標題: [問卦] 韓國轉播直接把中華台北翻譯成台灣耶,時間: Sat Nov 23 21:03:28 2024
推: 160,噓: 18,分數: 142,作者: CREA (人間不信),標題: [新聞] 丟臉丟到國外！謝宜容案星媒關注　批「酷吏」重創台灣人權,時間: Sat Nov 23 23:45:29 2024
推: 0,噓: 0,分數: 0,作者: livingend (livingend),標題: [問卦] 健身練肌肉是窮人在做的事吧？,時間: Sun Nov 24 09:40:53 2024
推: 10,噓: 1,分數: 9,作者: Dcwei (野心家),標題: [問卦] 拓海為什麼喜歡夏樹,時間: Sun Nov 24 03:03:02 2024
推: 4,噓: 0,分數: 4,作者: GoToCHT (貳肆壹貳),標題: [新聞] 台北市政府直播趴爆棚 應援台灣英雄超嗨,時間: Sat Nov 23 23:20:58 2024
推: 3,噓: 0,分數: 3,作者: koiopolo2 (K),標題: [問卦] 為什麼有些人一直問為什麼要演奏春日影?,時間: Sat Nov 23 20:41:12 2024
推: 10,噓: 1,分數: 9,作者: bang59487 (我的暱稱剛好有十個字),標題: [問卦] 滿壘 兩出局跟0出局 誰得分多的機率高,時間: Sat Nov 23 20:10:37 2024
推: 2,噓: 0,分數: 2,作者: laidos (道士),標題: Re: [新聞] 洪申翰接任勞長：不必恭喜我 這是不能失敗,時間: Sat Nov 23 21:16:33 2024
推: 4,噓: 5,分數: -1,作者: erichicken (吾乃長衫罩紙籠),標題: [問卦] 小7進貨忙不賣霜淇淋？,時間: Sat Nov 23 21:46:57 2024
推: 7,噓: 3,分數: 4,作者: MoreLight (大文),標題: [問卦] 開放安樂死有什麼不好？,時間: Sat Nov 23 22:54:30 2024
推: 1,噓: 0,分數: 1,作者: ceramicfa (ceramicfa),標題: [問卦] 日本vs台灣 等於大師兄vs何金銀嗎,時間: Sun Nov 24 04:33:31 2024
推: 1,噓: 2,分數: -1,作者: IronCube (高端邁粉),標題: [問卦] 昨天是中華隊還是臺灣隊故意犯規啊？,時間: Sun Nov 24 07:49:19 2024
推: 4,噓: 1,分數: 3,作者: PRME (我的文最廢),標題: [問卦] 小日本偷襲珍珠港是不是沒運動精神？？？,時間: Sun Nov 24 02:25:29 2024
推: 10,噓: 0,分數: 10,作者: aeont (slave),標題: [問卦] 挖靠!沒看yahoo首頁還不知今天金馬獎?,時間: Sat Nov 23 22:06:09 2024
推: 2,噓: 0,分數: 2,作者: GKKR (大肥宅油膩膩),標題: Re: [問卦] 有哪些看了可以發洩的爽片？,時間: Sat Nov 23 22:23:50 2024
推: 0,噓: 0,分數: 0,作者: yokann (PTT和平大使),標題: Re: [問卦] 搞不懂換先發有啥好吵的,時間: Sun Nov 24 09:54:11 2024
推: 5,噓: 2,分數: 3,作者: ai770116 (東方的神秘力量),標題: [問卦] 不搞霸凌是台灣棒球強大的原因嗎？,時間: Sat Nov 23 20:27:08 2024
推: 2,噓: 0,分數: 2,作者: STAV72 (刁民黨黨務主委),標題: [新聞] 研究指出獸控傾向有助開發幼兒心智潛能,時間: Sat Nov 23 20:09:50 2024
推: 13,噓: 2,分數: 11,作者: windows0310 (飛向宇宙浩瀚無垠),標題: [問卦] 大奶OL下班後的黑絲褲襪香嗎？,時間: Sat Nov 23 20:56:40 2024
推: 21,噓: 13,分數: 8,作者: botnet (反甲連-宣傳長),標題: [新聞] 2024高雄同志大遊行　林岱樺:性別友善,時間: Sat Nov 23 21:52:39 2024
推: 10,噓: 8,分數: 2,作者: vodkalime607 (一直跑下去),標題: [新聞] 金馬61／11歲鄭又菲奪最佳新人激動大叫 ,時間: Sat Nov 23 21:54:00 2024
推: 11,噓: 0,分數: 11,作者: lifesg (無價之寶),標題: [問卦] 你們覺得BIGBANG是幾個人?,時間: Sat Nov 23 23:47:38 2024
推: 9,噓: 0,分數: 9,作者: gotopark (無限風光在險峰),標題: [問卦] 女生70D和75D那個比較大?,時間: Sat Nov 23 21:52:19 2024
推: 5,噓: 0,分數: 5,作者: notimenofree (裝忙真的這麼爛還怕人說6),標題: [問卦] 欸欸日本隊是不是在霸凌我們,時間: Sat Nov 23 20:23:32 2024
推: 7,噓: 2,分數: 5,作者: MeiHS (簽名檔是實話，不是笑話),"標題: [問卦] 中共國人真的喜歡學走技術,就過河拆橋嗎?",時間: Sun Nov 24 02:31:22 2024
推: 0,噓: 0,分數: 0,作者: gk1329 (),標題: Re: [問卦] 床墊利潤很高嗎為什麼一堆廣告,時間: Sun Nov 24 09:32:30 2024
推: 35,噓: 9,分數: 26,作者: Lawleit (大員郭奉孝),標題: [問卦] 店員可以獨佔友善時光？,時間: Sun Nov 24 00:00:29 2024
推: 3,噓: 0,分數: 3,作者: ulycess (ulycess),標題: [問卦] 日本的投票制度怎麼那麼落後？,時間: Sat Nov 23 21:53:18 2024
推: 0,噓: 0,分數: 0,作者: junzi (這羊太危險),標題: [問卦] 搞不懂換先發有啥好吵的,時間: Sun Nov 24 09:33:48 2024
推: 0,噓: 0,分數: 0,作者: ppp123 (3p哥),標題: 婆羅門會被QJ嗎？,時間: Sun Nov 24 09:27:28 2024
推: 11,噓: 1,分數: 10,作者: damedame (打麵打麵),標題: [問卦] 有哪些看了可以發洩的爽片？,時間: Sat Nov 23 22:16:35 2024
推: 0,噓: 0,分數: 0,作者: ujmrfv (UUU),標題: [問卦] 一直投觸身會怎樣,時間: Sat Nov 23 20:07:14 2024
推: 5,噓: 2,分數: 3,作者: wild2012 (噹噹噹噹噹),標題: Re: [新聞] 第4次了！聯合國安理會加薩停火協議 美國,時間: Sat Nov 23 21:05:23 2024
推: 5,噓: 1,分數: 4,作者: zxc17893 (手寫信才能被淚水打濕),標題: Re: [問卦] 開放安樂死有什麼不好？,時間: Sat Nov 23 23:00:29 2024
推: 0,噓: 0,分數: 0,作者: yangzy (亞瑟),標題: Re: [問卦] 島內自嗨金馬獎 怎麼一堆中國片得獎？,時間: Sun Nov 24 00:41:47 2024
推: 5,噓: 3,分數: 2,作者: QEMU (五條悟被腰斬了),標題: [問卦]八卦板有被一堆其他板的討厭嗎?,時間: Sat Nov 23 23:38:11 2024
推: 21,噓: 3,分數: 18,作者: wugucc029 (五股CC),標題: [問卦] 林襄的臉是哪裡怪怪的,時間: Sat Nov 23 20:18:24 2024
推: 12,噓: 0,分數: 12,作者: linda17a3 (),標題: [公告] 人人都有G奶女友 為什麼本肥宅沒有！,時間: Sun Nov 24 02:28:29 2024
推: 11,噓: 15,分數: -4,作者: acz0221 (來自幽冥界的中二),標題: [問卦] 八卦版對金馬很不尊重？,時間: Sat Nov 23 21:09:50 2024
推: 0,噓: 0,分數: 0,作者: ccf52881 (ccf52881),標題: [新聞] 今抗日爭冠！　一票喊「不看比賽」原因,時間: Sun Nov 24 09:55:20 2024
推: 5,噓: 1,分數: 4,作者: doig (民國百十三),"標題: [問卦] 王心凌今晚綿羊造型,毛絨絨也太可愛",時間: Sat Nov 23 23:58:21 2024
推: 0,噓: 0,分數: 0,作者: Tsuzichen (Zoo),標題: [問卦] 請問這個車禍肇事責任怎麼算？,時間: Sun Nov 24 09:29:46 2024
推: 3,噓: 0,分數: 3,作者: qq326 (BEU-6027),標題: [問卦] 我這樣算幽默嗎?,時間: Sat Nov 23 22:28:04 2024
推: 251,噓: 3,分數: 248,作者: L1ON (廢文認証OK),標題: [問卦] 我就是不要臉 來討一句生日快樂 10p一推,時間: Sun Nov 24 02:45:56 2024
推: 11,噓: 2,分數: 9,作者: peacemetta (一期一會),標題: [問卦] 天堂的巔峰是水之都、奇岩城還是亞丁,時間: Sat Nov 23 21:50:40 2024
推: 0,噓: 0,分數: 0,作者: hades1206 (Sai),標題: [新聞] 兒綁胸前成肉墊…機車對撞 6個月男嬰重摔,時間: Sun Nov 24 10:14:39 2024
推: 2,噓: 0,分數: 2,作者: lwt501cx (爆裂魔法Explosion！！),標題: Re: [問卦] 棒球板一順逆風就開始提八卦板？,時間: Sat Nov 23 21:02:22 2024
推: 3,噓: 0,分數: 3,作者: DustToDust (活得痛快 死得年輕),標題: Re: [新聞] 搶救王義川成功了！吳崢：恭喜川哥！打,時間: Sun Nov 24 03:12:07 2024
推: 5,噓: 1,分數: 4,作者: k99t (聖誕小雞),標題: [問卦] 有沒有天氣變成外套要怎麼選擇的八卦？,時間: Sat Nov 23 21:44:41 2024
推: 4,噓: 1,分數: 3,作者: darkbrigher (暗行者),標題: Re: [問卦] 台灣有辦法阻止大陸第五代戰機轟炸台灣,時間: Sat Nov 23 19:54:28 2024
推: 1,噓: 0,分數: 1,作者: GGININDER4NI (GGYOININ),標題: [問卦] 抹茶小熊餅怎麼這麼玄？,時間: Sat Nov 23 23:29:27 2024
推: 4,噓: 1,分數: 3,作者: PRME (我的文最廢),標題: [問卦] 明天要插旗嗎?????????????????????????,時間: Sat Nov 23 20:26:14 2024
推: 0,噓: 0,分數: 0,作者: mk203125 (戴奧辛),標題: Re: [問卦] 不給貓貓睡覺會怎樣？,時間: Sun Nov 24 07:44:25 2024
推: 6,噓: 2,分數: 4,作者: inmee (J),"標題: [問卦] 巴菲特不認同加密貨幣,最終看對還是看錯?",時間: Sun Nov 24 00:13:57 2024
推: 25,噓: 3,分數: 22,作者: tommy1014 (鮪魚),標題: Fw: [新聞] 慶祝中華隊衝進總冠軍！4大超商「買一,時間: Sun Nov 24 00:40:42 2024
推: 3,噓: 2,分數: 1,作者: rs23234 (.),標題: [問卦] 輸3分 若沒派柏清投手 有機會贏嗎？,時間: Sat Nov 23 22:15:50 2024
推: 5,噓: 2,分數: 3,作者: Sinreigensou (神靈幻想),標題: [問卦] 好奇為何公益彩券不牴觸賭博罪,時間: Sat Nov 23 22:26:37 2024
推: 0,噓: 0,分數: 0,作者: danny006637 (NeneNene),標題: [問卦] 為什麼謝宜容會搞消失？,時間: Sun Nov 24 08:47:37 2024
推: 8,噓: 1,分數: 7,作者: v929598 (實感.手作廢文),標題: [問卦] 甲甲學長的咖啡店該送什麼匾額(題辭)?,時間: Sat Nov 23 21:42:22 2024
推: 0,噓: 0,分數: 0,作者: monniea (Steve),標題: [問卦] 肥宅臨時換什麼會被噴,時間: Sun Nov 24 09:31:42 2024
推: 0,噓: 0,分數: 0,作者: CODDDD (好吃鱈魚高蛋白),標題: [問卦] 中華隊是不是為我們中國爭光雪恥,時間: Sun Nov 24 09:59:35 2024
推: 4,噓: 0,分數: 4,作者: Kenshilo (醒銳孔),標題: [新聞] 新北汐止「巨石崩落」超驚悚 人車管制通,時間: Sun Nov 24 03:11:44 2024
推: 1,噓: 0,分數: 1,作者: neil136 (八級小狂風愛小太子奶),標題: Re: [新聞] 祭祀沉沒日艦145官兵亡魂！高雄紅毛港保,時間: Sat Nov 23 22:22:30 2024
推: 5,噓: 0,分數: 5,作者: AsahiBeer (朝日啤酒),標題: [問卦] 同學兒子的婚禮要包多少？,時間: Sun Nov 24 00:37:28 2024
推: 4,噓: 2,分數: 2,作者: signm (sin),標題: [問卦] 明天是湘北打山王吧？勝的機率幾乎0.01,時間: Sat Nov 23 21:06:31 2024
推: 4,噓: 0,分數: 4,作者: s92312 (巴斯),標題: Re: [問卦] 怎麼擋人請假，被檢舉才沒事？,時間: Sat Nov 23 22:53:29 2024
推: 0,噓: 0,分數: 0,作者: f12sd2e2aa (XS),標題: [問卦] 看大陸盜版轉播更印證黑熊學院的理論,時間: Sun Nov 24 09:19:58 2024
推: 9,噓: 1,分數: 8,作者: cutiehoneyzu (McHilo),標題: [問卦] 台北最好吃的buffet是那一家？,時間: Sat Nov 23 20:15:03 2024
推: 0,噓: 0,分數: 0,作者: giorno78 (天晴),標題: [問卦] 日本要求我們照他們的潛規則 是不是在霸,時間: Sun Nov 24 08:56:36 2024
推: 3,噓: 0,分數: 3,作者: MiaoXin (MiaoXin),標題: [問卦] 這樣物流還有在送嗎,時間: Sun Nov 24 00:09:05 2024
推: 87,噓: 4,分數: 83,作者: weber18767 (Cine 21),標題: [問卦] 王若琳出道這麼久 為何沒大紅,時間: Sat Nov 23 21:54:03 2024
推: 0,噓: 0,分數: 0,作者: ntughost (NTU_GHOST),標題: [問卦] 臨時換先發被罰錢,時間: Sun Nov 24 09:14:14 2024
推: 4,噓: 0,分數: 4,作者: ffreakk (),標題: [問卦] AI不只文筆好還會幫忙補刀,時間: Sat Nov 23 22:52:15 2024
推: 2,噓: 0,分數: 2,作者: ddshu (ddddd),標題: Re: [問卦] 研究所備取跟正取要去哪個,時間: Sat Nov 23 21:47:37 2024
推: 2,噓: 0,分數: 2,作者: laverne1 (只收菁英不收雜碎),標題: [問卦] 蟻王都要名字 死者名字被掩蓋有多慘????,時間: Sun Nov 24 04:29:37 2024
推: 2,噓: 0,分數: 2,作者: takashi01 (中和孔劉),標題: Re: [問卦] 會給兒女騎機車嗎？,時間: Sat Nov 23 22:44:13 2024
推: 4,噓: 0,分數: 4,作者: wei115 (社畜),標題: [問卦] 收到詐騙信，請問單兵該如何處置,時間: Sat Nov 23 23:45:10 2024
推: 3,噓: 0,分數: 3,作者: frzqp3814396 (GGYY),標題: [問卦] 台灣奶粉罐設計怎麼那麼爛,時間: Sat Nov 23 22:52:06 2024
推: 2,噓: 0,分數: 2,作者: kingmusk (馬爹利),標題: [問卦] 所以 頒獎典禮 到底有什麼好看的？,時間: Sun Nov 24 00:39:49 2024
推: 71,噓: 14,分數: 57,作者: iamshana (CANINE力集中在一些重要S),標題: [新聞] 中華隊臨時換投罰款2000美金！冠軍戰林,時間: Sat Nov 23 23:27:44 2024
推: 8,噓: 1,分數: 7,作者: bluehttp (公鯊小),標題: [問卦] 印度多車道高架橋只用單柱支撐 安全嗎？,時間: Sat Nov 23 22:20:01 2024
推: 0,噓: 0,分數: 0,作者: cl3bp6 (來自97號世界),標題: [新聞] 12強／線上免費直播！Hami Video「1組序,時間: Sun Nov 24 09:14:45 2024
推: 69,噓: 28,分數: 41,作者: jis0077 (一個人的輕旅行),標題: [新聞] 檢舉職場霸凌 衛福部：具名檢舉不影響升,時間: Sat Nov 23 23:24:17 2024
推: 2,噓: 3,分數: -1,作者: ga3322165 (Jkor),標題: [問卦] 日本狗是不是很愛叫？,時間: Sun Nov 24 00:33:54 2024
推: 3,噓: 3,分數: 0,作者: GoToCHT (貳肆壹貳),標題: [問卦] 日本偷襲珍珠港有講武德嗎,時間: Sat Nov 23 22:24:56 2024
推: 0,噓: 0,分數: 0,作者: songgood (ilovegoodgame),標題: [問卦] 愛國是不是拿來騙人的,時間: Sun Nov 24 08:52:44 2024
推: 0,噓: 0,分數: 0,作者: xvited945 (),標題: [問卦] 台日友好的粉紅泡泡破了？,時間: Sun Nov 24 08:30:22 2024
推: 5,噓: 0,分數: 5,作者: aabbcc520 (U質文),標題: Re: [問卦] 33處男今天沒爬山嗎,時間: Sun Nov 24 07:50:43 2024
推: 0,噓: 0,分數: 0,作者: Lailungsheng (狼不會入眠),標題: Re: [新聞] 換投事件 打破日本球界潛規則,時間: Sun Nov 24 08:20:36 2024
推: 2,噓: 0,分數: 2,作者: metroid0104 (無),標題: Re: [新聞] 綠議員「看中國盜版直播」挺中華隊　遭,時間: Sun Nov 24 07:43:55 2024
推: 1,噓: 1,分數: 0,作者: A98454 ( 阿肥是肥宅的肥),標題: Re: [問卦] 古代很多倭寇其實是中國海盜？,時間: Sun Nov 24 03:06:23 2024
推: 0,噓: 0,分數: 0,作者: s2678132 (重力可可),標題: Re: [問卦] 網友爆料台南牛肉湯一堆化學的？,時間: Sun Nov 24 07:29:45 2024
推: 482,噓: 47,分數: 435,作者: Supergreen (Hi),標題: [新聞] 9高中生機車衝合歡山 2人遭攪拌車輾死目擊學,時間: Sat Nov 23 21:00:13 2024
推: 4,噓: 0,分數: 4,作者: qq326 (BEU-6027),標題: [問卦] 陸行鳥大賽車的八卦,時間: Sat Nov 23 20:56:10 2024
推: 0,噓: 0,分數: 0,作者: Qunnine (qunnine),標題: Re: [問卦] 所以在臺灣能吃『海鮮素』的都很有錢嗎？,時間: Sun Nov 24 09:07:07 2024
推: 5,噓: 0,分數: 5,作者: GA389434 (GA389434),標題: Re: [問卦] 工程師起薪兩三百真的是多數嗎?,時間: Sat Nov 23 23:37:45 2024
推: 0,噓: 0,分數: 0,作者: CarlEdwards (CarlEdwards),標題: [問卦] 日本投手是不是還好而已,時間: Sun Nov 24 08:48:54 2024
推: 10,噓: 2,分數: 8,作者: callhek (貓貓仲介商),標題: [問卦] 明天銀牌含銀量多少？,時間: Sat Nov 23 22:57:54 2024
推: 11,噓: 1,分數: 10,作者: linda17a3 (),標題: [公告] I Decided to Hate You-Lee Ye Joon,時間: Sat Nov 23 20:01:14 2024
推: 9,噓: 2,分數: 7,作者: nbarepeat (nbarepeat),標題: [問卦] 中國的短片成本是不是越來越多？,時間: Sat Nov 23 20:41:22 2024
推: 0,噓: 0,分數: 0,作者: brokenback3 (3),標題: [問卦] 美國幫忙台灣打進棒球12強冠軍賽？,時間: Sun Nov 24 09:21:19 2024
推: 3,噓: 2,分數: 1,作者: laptic (靜夜聖林彼岸花),標題: Re: [問卦] 未完成的電影都能拿金馬獎 484很誇張,時間: Sat Nov 23 23:23:08 2024
推: 0,噓: 0,分數: 0,作者: baseballl (ball),標題: [問卦] 台灣棒球變強其實跟台灣變有錢有關係吧,時間: Sun Nov 24 08:23:52 2024
推: 26,噓: 2,分數: 24,作者: QEMU (五條悟被腰斬了),標題: [問卦]中華隊怎麼還在燒牛棚,時間: Sat Nov 23 20:52:50 2024
推: 0,噓: 0,分數: 0,作者: L1ON (廢文認証OK),標題: [問卦]今天冠軍賽大谷翔平會上來打嗎 ,時間: Sun Nov 24 08:32:17 2024
推: 4,噓: 1,分數: 3,作者: YHOTV4096 (常遇春),標題: [問卦] 為什麼大部份的石英錶秒針無法對準刻度？,時間: Sun Nov 24 00:49:46 2024
推: 5,噓: 0,分數: 5,作者: BlueBird5566 (賴粉-青鳥56),標題: [問卦] 東京的天氣也太好了吧!!!,時間: Sat Nov 23 23:46:36 2024
推: 0,噓: 0,分數: 0,作者: H2 (超級噴火龍X),標題: Re: [問卦] 看大陸盜版轉播更印證黑熊學院的理論,時間: Sun Nov 24 10:08:24 2024
推: 0,噓: 0,分數: 0,作者: ltytw (拉米亞妹妹),標題: [問卦] 多久沒看過漢堡用發泡或保利龍盒子裝了,時間: Sun Nov 24 08:47:58 2024
推: 1,噓: 0,分數: 1,作者: monniea (Steve),標題: [問卦] 肥宅有體味被霸凌 其他人如何阻止,時間: Sun Nov 24 10:01:56 2024
推: 1,噓: 1,分數: 0,作者: SaberMyWifi (賽巴),標題: [問卦] 是不是真的有棒球之神天罰這件事啊？,時間: Sat Nov 23 20:15:51 2024
